                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.66526,                 4.3151,                0.95465,                0.94261,                0.88795,                0.94093,                0.87409,                0.39426,                0.97821,                0.82207,                 0.0865,                 0.0015,                 0.0015
                      1,                0.48398,                0.62059,                0.87271,                 0.9611,                0.97297,                0.96121,                0.91708,                0.28041,                0.63076,                0.81268,               0.072039,              0.0030386,              0.0030386
                      2,                0.55368,                 0.5741,                0.89809,                0.92014,                0.97297,                0.93675,                0.90331,                0.33266,                0.57084,                0.81019,               0.057514,              0.0045139,              0.0045139
                      3,                0.56282,                0.63971,                0.87498,                0.95567,                0.97297,                0.98497,                0.93201,                0.37831,                0.78198,                0.82123,               0.042926,              0.0059258,              0.0059258
                      4,                0.58913,                0.71005,                0.91072,                0.91379,                0.97297,                0.98406,                0.91944,                0.40909,                0.44812,                0.82586,               0.028274,              0.0072743,              0.0072743
                      5,                0.53411,                0.81076,                0.85235,                0.95284,                0.94595,                0.98929,                0.91516,                0.41221,                0.54815,                0.83315,                0.01356,              0.0085595,              0.0085595
                      6,                0.61553,                0.78286,                0.88812,                0.91212,                0.97297,                0.98798,                0.92033,                0.46714,                0.71827,                0.83765,               0.008812,               0.008812,               0.008812
                      7,                0.69541,                 0.6104,                0.91391,                0.97264,                0.96083,                0.99224,                0.88283,                0.47511,                0.60872,                0.83539,               0.008812,               0.008812,               0.008812
                      8,                0.63665,                0.51744,                0.87591,                 0.8979,                0.97297,                 0.9789,                0.86873,                0.51017,                0.50279,                0.85002,               0.008614,               0.008614,               0.008614
                      9,                0.56856,                0.59394,                0.87839,                      1,                0.94438,                0.98712,                0.90349,                 0.4356,                0.41742,                 0.8373,               0.008416,               0.008416,               0.008416
                     10,                0.64507,                 0.5763,                0.88194,                      1,                0.96999,                0.99397,                0.93117,                0.37941,                 0.3746,                0.82445,               0.008218,               0.008218,               0.008218
                     11,                0.61888,                 0.5466,                0.90003,                0.93855,                0.97297,                0.97547,                0.88181,                0.43165,                0.55386,                0.83163,                0.00802,                0.00802,                0.00802
                     12,                0.59907,                0.47323,                0.88614,                0.94841,                0.97297,                0.99059,                0.88623,                0.49621,                  0.462,                 0.8603,               0.007822,               0.007822,               0.007822
                     13,                0.57632,                0.46199,                0.87971,                0.96585,                0.97297,                0.98426,                0.88739,                0.48398,                0.46059,                0.85388,               0.007624,               0.007624,               0.007624
                     14,                0.65693,                0.48778,                0.93053,                0.96945,                0.97297,                0.99046,                0.88881,                0.49682,                0.44128,                0.84272,               0.007426,               0.007426,               0.007426
                     15,                0.60596,                0.49823,                0.89048,                      1,                0.98873,                  0.995,                0.89184,                0.46111,                0.43737,                 0.8308,               0.007228,               0.007228,               0.007228
                     16,                0.55585,                0.46206,                0.86702,                      1,                0.99933,                  0.995,                0.88619,                0.44882,                0.45418,                0.82693,                0.00703,                0.00703,                0.00703
                     17,                 0.5681,                0.48574,                0.88201,                0.97359,                0.99642,                0.98526,                 0.8643,                0.50135,                0.60303,                0.83292,               0.006832,               0.006832,               0.006832
                     18,                0.57333,                 0.4576,                0.88024,                0.97367,                0.99934,                0.99079,                0.88444,                0.47358,                0.41165,                0.83335,               0.006634,               0.006634,               0.006634
                     19,                0.58667,                0.42537,                0.88468,                0.96962,                      1,                0.99237,                0.87632,                0.54498,                0.44163,                0.85325,               0.006436,               0.006436,               0.006436
                     20,                0.55416,                0.45445,                0.85966,                0.97218,                      1,                0.99079,                0.91916,                0.44326,                0.37806,                0.84301,               0.006238,               0.006238,               0.006238
                     21,                 0.5393,                 0.4175,                0.88346,                      1,                0.99635,                  0.995,                 0.9013,                0.41369,                0.37137,                0.83257,                0.00604,                0.00604,                0.00604
                     22,                0.54958,                0.43085,                0.87211,                      1,                0.99906,                  0.995,                0.90679,                0.41129,                0.36413,                0.83182,               0.005842,               0.005842,               0.005842
                     23,                0.51542,                0.40943,                0.85528,                0.97072,                      1,                0.99447,                0.91798,                0.43451,                0.35305,                 0.8383,               0.005644,               0.005644,               0.005644
                     24,                0.50701,                0.39592,                 0.8643,                0.99608,                0.97297,                0.99397,                0.91799,                 0.4237,                  0.356,                0.82725,               0.005446,               0.005446,               0.005446
                     25,                0.51041,                0.39522,                0.87755,                0.99847,                      1,                  0.995,                0.91801,                0.40887,                0.36758,                0.82812,               0.005248,               0.005248,               0.005248
                     26,                0.52386,                0.39251,                0.87647,                 0.9979,                      1,                  0.995,                0.90244,                0.43005,                0.35448,                 0.8293,                0.00505,                0.00505,                0.00505
                     27,                0.52916,                0.40105,                0.88015,                      1,                0.99975,                  0.995,                0.93329,                0.39614,                0.36753,                0.82188,               0.004852,               0.004852,               0.004852
                     28,                0.48934,                0.37439,                0.86468,                      1,                0.99803,                  0.995,                0.91766,                0.41447,                0.34102,                0.82491,               0.004654,               0.004654,               0.004654
                     29,                0.47312,                0.36002,                0.85522,                      1,                0.96291,                0.99305,                0.93895,                0.34927,                0.33786,                  0.814,               0.004456,               0.004456,               0.004456
                     30,                0.49462,                0.37132,                0.85218,                 0.9969,                0.97297,                0.99447,                0.92476,                0.41242,                0.29968,                0.81527,               0.004258,               0.004258,               0.004258
                     31,                0.48809,                0.35918,                0.85066,                0.99896,                      1,                  0.995,                0.92245,                0.37581,                0.29705,                0.81323,                0.00406,                0.00406,                0.00406
                     32,                0.47006,                0.35613,                0.84777,                      1,                0.99336,                  0.995,                 0.9212,                 0.4177,                0.33507,                0.82137,               0.003862,               0.003862,               0.003862
                     33,                0.48081,                0.37475,                0.85571,                      1,                0.99801,                  0.995,                0.94141,                0.34536,                0.29653,                0.81314,               0.003664,               0.003664,               0.003664
                     34,                  0.462,                 0.3389,                0.85315,                      1,                0.99828,                  0.995,                0.94341,                0.34337,                0.28398,                0.81504,               0.003466,               0.003466,               0.003466
                     35,                0.44557,                0.33575,                0.84895,                      1,                0.99809,                  0.995,                 0.9455,                0.34428,                0.28526,                0.81662,               0.003268,               0.003268,               0.003268
                     36,                0.42708,                0.33363,                 0.8438,                0.99838,                0.97297,                0.99447,                0.91771,                 0.4628,                0.31822,                0.83715,                0.00307,                0.00307,                0.00307
                     37,                0.46731,                0.35027,                0.85863,                0.99826,                0.97297,                0.99397,                0.96177,                0.31941,                 0.2832,                0.81827,               0.002872,               0.002872,               0.002872
                     38,                0.43311,                0.32936,                 0.8566,                0.99811,                0.97297,                0.99397,                 0.9286,                0.39433,                0.27817,                0.83013,               0.002674,               0.002674,               0.002674
                     39,                0.42882,                0.31352,                 0.8446,                0.99769,                0.97297,                0.99397,                 0.9193,                0.43479,                0.28267,                0.83059,               0.002476,               0.002476,               0.002476
                     40,                0.33229,                0.27169,                0.80166,                0.97363,                0.99789,                0.99447,                 0.9292,                0.38769,                0.28356,                 0.8236,               0.002278,               0.002278,               0.002278
                     41,                0.33848,                0.28143,                0.80357,                0.97364,                0.99834,                0.99447,                0.94306,                 0.3563,                0.26983,                0.81485,                0.00208,                0.00208,                0.00208
                     42,                0.33727,                0.26834,                0.78956,                0.97366,                0.99906,                0.99447,                0.94132,                0.39602,                0.29214,                0.81958,               0.001882,               0.001882,               0.001882
                     43,                0.34755,                0.28083,                0.79931,                0.97366,                0.99912,                0.99447,                0.95587,                 0.3295,                0.26259,                0.81147,               0.001684,               0.001684,               0.001684
                     44,                0.34207,                0.27501,                0.81295,                0.97362,                0.99763,                0.99447,                0.94414,                0.35344,                0.27387,                0.81477,               0.001486,               0.001486,               0.001486
                     45,                0.32422,                0.26414,                0.78857,                0.99553,                0.97297,                0.99397,                0.94814,                0.31164,                0.25703,                0.81496,               0.001288,               0.001288,               0.001288
                     46,                0.31998,                0.26147,                0.78681,                0.99687,                0.97297,                0.99397,                0.94651,                0.32959,                0.26414,                0.82188,                0.00109,                0.00109,                0.00109
                     47,                0.31274,                0.25982,                0.78917,                      1,                0.99917,                  0.995,                0.95684,                0.32382,                0.25127,                0.82256,               0.000892,               0.000892,               0.000892
                     48,                0.30013,                0.24114,                 0.7925,                0.99936,                      1,                  0.995,                0.95378,                0.31659,                0.24883,                0.82087,               0.000694,               0.000694,               0.000694
                     49,                0.27867,                0.23472,                0.78408,                0.99904,                      1,                  0.995,                0.95724,                 0.3081,                0.24547,                0.81856,               0.000496,               0.000496,               0.000496
